Professor/Group,Lab/Institute,Research Focus/Area,Contact/Link
"Oxford-Man Institute (OMI)","University of Quantitative Finance, University of Oxford","Algorithmic Trading, Deep Learning, NLP, Reinforcement Learning, Portfolio Optimization","(https://oxford-man.ox.ac.uk/)"
"Prof. Josef Teichmann","ETH Zürich, Department of Mathematics","Mathematical & Computational Finance, Deep Hedging, Signature-Based Models","(https://math.ethz.ch/people/person-detail.josef-teichmann.html)"
"Prof. Patrick Cheridito","ETH Zürich, Department of Mathematics","Machine Learning in Finance & Insurance (NNs, XGBoost, Kernel Methods)","(https://people.math.ethz.ch/~patrickc/mlfi/)"
"Simula Research Laboratory","Oslo, Norway","Foundational Machine Learning, Multimodal Deep Learning, Signal Processing, Data Fusion","(https://www.simula.no/)"
"Prof. Vitor Azevedo","RPTU Kaiserslautern-Landau / DFKI","Financial Management, Asset Pricing, AI/ML in Finance","(https://dsa.dfki.de/author/vitor-azevedo/)"
"Centre for Financial Technology","Imperial College London, Business School","FinTech, Quantitative & Analytical Skills, R, Python, Blockchain, Data Analytics","(https://www.imperial.ac.uk/business-school/masters/financial-technology/)"
"Cambridge Centre for Finance","University of Cambridge, Judge Business School","Financial Research, Algorithmic Trading, Asset Allocation, ML for Finance Practitioners","(https://www.jbs.cam.ac.uk/masters-degrees/master-of-finance/)"
"Dr. Blanka Horvath","Technical University of Munich (TUM), Chair of Mathematical Finance","Machine Learning in Finance","(https://www.math.cit.tum.de/en/mathfinance/lehre/fruehere-lehrveranstaltungen/sommersemester-2021/machine-learning-in-finance/)"
"School of Finance","University of St. Gallen (HSG)","AI in Finance, Deep Learning, Generative AI","(https://www.unisg.ch/en/university/schools/school-of-finance-sof-hsg/)"
"European Centre for Algorithmic Transparency (ECAT)","European Commission, Joint Research Centre","Algorithmic Transparency, Fairness, Accountability, Recommender Systems","(https://algorithmic-transparency.ec.europa.eu/about_en)"
"Inquire Europe","(Professional Organization)","Hosts seminars on topics including ML for portfolio optimization and trading costs","(https://www.inquire-europe.org/)"
